iter	Logloss
0	0.5967045636
1	0.5229753655
2	0.4663518911
3	0.4233616698
4	0.3899987701
5	0.3638816547
6	0.3441246155
7	0.3290983025
8	0.3169497282
9	0.3072920426
10	0.2996101083
11	0.2940914954
12	0.2892532607
13	0.2854290322
14	0.2826045409
15	0.2802370033
16	0.278414501
17	0.2765587558
18	0.2748958169
19	0.2737163008
20	0.2730121876
21	0.2722733523
22	0.2715873291
23	0.2705682474
24	0.2702154229
25	0.2697886067
26	0.2693107885
27	0.2690649732
28	0.2687785639
29	0.268580943
30	0.2683928738
31	0.2678951103
32	0.2675343168
33	0.2669701146
34	0.2666066125
35	0.2664864014
36	0.2662499058
37	0.2659293098
38	0.2657857052
39	0.2654497163
40	0.2653343216
41	0.2649955765
42	0.2647221235
43	0.2646346123
44	0.2645166665
45	0.2643031286
46	0.2641925962
47	0.264073691
48	0.2638868923
49	0.2638197874
50	0.2636566843
51	0.2635076989
52	0.2633779659
53	0.2632782182
54	0.2630624766
55	0.2629269501
56	0.2627935034
57	0.2626470767
58	0.2624036471
59	0.2621932934
60	0.2621433444
61	0.2620572068
62	0.2618623048
63	0.2617186039
64	0.2616658391
65	0.2615626944
66	0.2614954788
67	0.2613967192
68	0.2612783669
69	0.2611418892
70	0.2610180012
71	0.2609399352
72	0.2608311062
73	0.2606547711
74	0.2605442252
75	0.2604853059
76	0.260411976
77	0.2603817744
78	0.2602405305
79	0.2601520535
80	0.2600908004
81	0.2599202001
82	0.2596890351
83	0.2595340849
84	0.2594116213
85	0.2593316134
86	0.2592525662
87	0.2591486691
88	0.2590710855
89	0.2589751241
90	0.258869306
91	0.2587985263
92	0.2587405387
93	0.2586374717
94	0.2585512059
95	0.258496445
96	0.2584619571
97	0.2582994637
98	0.2581916681
99	0.2581485763
