iter	Passed	Remaining
0	68	6746
1	79	3887
2	89	2896
3	99	2391
4	108	2066
5	118	1861
6	129	1714
7	139	1603
8	149	1515
9	161	1451
10	172	1392
11	182	1334
12	192	1289
13	201	1237
14	211	1199
15	222	1167
16	232	1133
17	241	1098
18	249	1065
19	258	1035
20	268	1011
21	278	988
22	288	965
23	298	944
24	307	923
25	317	904
26	327	884
27	336	866
28	347	850
29	358	837
30	368	820
31	377	802
32	387	786
33	396	770
34	405	753
35	415	739
36	424	722
37	432	705
38	442	692
39	452	678
40	461	664
41	472	652
42	482	639
43	492	626
44	503	615
45	513	602
46	523	589
47	533	578
48	543	566
49	555	555
50	568	546
51	581	536
52	591	524
53	601	512
54	611	500
55	620	487
56	630	475
57	643	466
58	653	454
59	663	442
60	673	430
61	682	418
62	691	406
63	701	394
64	711	382
65	719	370
66	729	359
67	739	347
68	748	336
69	758	324
70	767	313
71	776	302
72	786	290
73	795	279
74	804	268
75	814	257
76	824	246
77	833	235
78	842	224
79	852	213
80	862	202
81	870	191
82	879	180
83	888	169
84	897	158
85	907	147
86	917	137
87	926	126
88	936	115
89	945	105
90	955	94
91	965	83
92	976	73
93	986	62
94	994	52
95	1004	41
96	1014	31
97	1022	20
98	1031	10
99	1041	0
